sub,run,story_id,dur_run,dur_story,diff
09,2,story_2,352.565,352.576,0.011000000000024102
09,30,story_30,240.56,240.624,0.06399999999999295
09,31,story_31,379.228,379.232,0.004000000000019099
09,32,story_32,335.81699999999995,335.84,0.023000000000024556
09,33,story_33,321.59000000000003,321.6,0.009999999999990905
09,34,story_34,310.814,310.832,0.01799999999997226
09,35,story_35,304.782,304.816,0.033999999999991815
09,36,story_36,296.408,296.432,0.02400000000000091
09,37,story_37,288.37399999999997,288.416,0.04200000000003001
09,38,story_38,275.597,275.632,0.03500000000002501
09,39,story_39,269.694,269.728,0.033999999999991815
09,3,story_3,319.97999999999996,320.0,0.020000000000038654
09,40,story_40,255.48700000000002,255.552,0.0649999999999693
09,41,story_41,367.992,368.0,0.007999999999981355
09,42,story_42,332.275,332.304,0.028999999999996362
09,43,story_43,320.179,320.192,0.013000000000033651
09,44,story_44,308.944,308.976,0.031999999999982265
09,45,story_45,301.25,301.264,0.014000000000010004
09,46,story_46,298.359,298.4,0.04099999999999682
09,47,story_47,288.944,288.976,0.031999999999982265
09,48,story_48,275.72700000000003,275.76,0.03299999999995862
09,49,story_49,273.356,273.392,0.036000000000001364
09,4,story_4,319.169,319.184,0.015000000000043201
09,50,story_50,256.21799999999996,256.272,0.05400000000003047
09,51,story_51,352.594,352.608,0.014000000000010004
09,52,story_52,323.07,323.088,0.018000000000029104
09,53,story_53,324.58099999999996,324.608,0.027000000000043656
09,54,story_54,308.373,308.4,0.026999999999986812
09,55,story_55,300.65,300.672,0.022000000000048203
09,56,story_56,298.848,298.88,0.031999999999982265
09,57,story_57,289.954,290.0,0.04599999999999227
