Word ID,Word,Mean of Valid Ratings,SD of Valid Ratings,No.of Valid Ratings
558,平衡,2.888889,1.187542,27
559,剖开,2.576923,0.945434,26
560,乞食,2.384615,0.803837,26
561,前进,2.37037,1.114525,27
562,腔调,3.0,1.0,27
563,强盗,1.692308,1.010712,26
564,亲近,3.111111,1.086042,27
565,禽兽,2.692308,1.086986,26
566,清点,3.074074,0.873804,27
567,蚯蚓,1.333333,0.83205,27
568,扰乱,3.222222,1.086042,27
569,设法,3.37037,1.213645,27
570,摄政,3.230769,1.242826,26
571,声誉,3.333333,1.414214,27
572,湿地,2.0,0.748331,26
573,誓约,3.222222,1.012739,27
574,手表,1.259259,0.813,27
575,私立,2.76,0.969536,25
576,岁数,1.962963,1.055443,27
577,贪心,3.111111,1.281025,27
578,探究,3.703704,1.030863,27
579,恬静,3.407407,0.971092,27
580,填鸭,3.75,0.989071,24
581,外向,3.615385,1.235376,26
582,王储,2.307692,1.010712,26
583,问题,3.115385,1.210848,26
584,喜乐,2.666667,1.143544,27
585,细小,2.777778,1.012739,27
586,相识,3.37037,1.30526,27
587,硝酸,1.62963,0.83887,27
588,斜视,2.481481,1.155934,27
589,星际,3.192308,1.16685,26
590,幸好,3.269231,1.115623,26
591,雪莱,2.904762,1.261141,21
592,巡警,1.666667,0.733799,27
593,药丸,1.592593,0.693889,27
594,野人,2.074074,0.957799,27
595,宜人,3.703704,0.868899,27
596,译名,3.230769,1.242826,26
597,银幕,2.259259,0.984206,27
598,银牌,1.62963,0.791695,27
599,鹦鹉,1.222222,0.57735,27
600,幽会,3.074074,0.916764,27
601,淤血,2.518519,1.051386,27
602,欲望,3.703704,1.324759,27
603,约数,3.48,1.357694,25
604,阅兵,1.888889,0.9337,27
605,栈道,2.185185,1.272098,27
606,掌权,3.333333,1.074172,27
607,丈夫,1.461538,0.706018,26
608,振荡,3.074074,1.035,27
609,整数,2.37037,1.275453,27
610,脂肪,1.923077,1.262476,26
611,直播,1.851852,0.863967,27
612,钟表,1.259259,0.446576,27
613,重力,3.185185,1.35978,27
614,注目,3.481481,0.848998,27
615,状态,3.962963,1.055443,27
616,捉摸,3.851852,1.292097,27
617,走廊,1.888889,0.891556,27
618,走私,2.884615,0.993053,26
619,把关,3.62963,0.83887,27
620,保值,3.75,0.989071,24
621,表现,3.518519,1.087353,27
622,蹩脚,3.25,1.032094,24
623,插嘴,3.0,0.960769,27
624,柴火,1.925926,0.916764,27
625,沉迷,3.407407,0.971092,27
626,称霸,3.444444,1.012739,27
627,成绩,2.555556,1.012739,27
628,冲突,3.074074,1.14105,27
629,虫卵,1.888889,0.974022,27
630,存款,1.777778,0.800641,27
631,大意,3.444444,0.751068,27
632,单据,2.444444,1.012739,27
633,淡忘,3.518519,1.014145,27
634,弹药,2.111111,1.154701,27
635,抵赖,3.481481,1.155934,27
636,地图,1.518519,0.70002,27
637,点数,3.04,1.098484,25
638,胴体,2.88,1.480991,25
639,恶霸,2.37037,1.114525,27
640,法官,1.653846,0.689481,26
641,仿效,3.481481,1.051386,27
642,绯红,3.296296,1.102962,27
643,肥胖,2.148148,1.026709,27
644,沸腾,2.851852,0.948833,27
645,风情,3.777778,1.154701,27
646,福音,3.615385,1.134087,26
647,府第,2.68,1.144552,25
648,复仇,3.037037,1.159625,27
649,刚强,3.333333,1.037749,27
650,供奉,3.407407,1.047314,27
651,鼓手,1.851852,0.948833,27
652,灌注,3.384615,0.941357,26
653,诡辩,3.807692,0.980581,26
654,还原,3.72,0.890693,25
655,毫米,2.333333,1.176697,27
656,壕沟,2.653846,1.324909,26
657,好处,3.444444,1.086042,27
658,好动,3.148148,1.09908,27
659,号角,2.592593,1.30853,27
660,荷花,1.423077,0.808608,26
661,横行,3.64,0.994987,25
662,红包,1.851852,1.026709,27
663,麾下,3.423077,1.137474,26
664,激动,3.185185,1.144789,27
665,肩头,2.0,0.960769,27
666,缴税,2.296296,1.030863,27
667,节奏,3.259259,1.227649,27
668,今晚,1.615385,0.752432,26
669,紧凑,3.185185,1.075498,27
670,紧张,3.111111,1.2195,27
671,进贡,2.851852,1.09908,27
672,惊奇,3.0,1.270978,27
673,就业,2.444444,1.086042,27
674,距离,2.481481,1.155934,27
675,靠山,3.074074,0.957799,27
676,可恨,3.296296,0.992852,27
677,空姐,1.576923,0.702742,26
678,两性,3.111111,1.2195,27
679,潦草,3.307692,1.010712,26
680,临时,3.703704,0.823446,27
681,买家,2.592593,1.083416,27
682,毛孔,1.925926,0.873804,27
683,没法,4.038462,0.99923,26
684,面临,3.592593,1.152231,27
685,面谈,2.703704,1.030863,27
686,苗圃,2.384615,1.09825,26
687,木瓜,1.555556,0.800641,27
688,忸怩,3.541667,0.977093,24
689,品尝,2.962963,1.159625,27
690,屏弃,3.72,0.979796,25
691,奇艺,3.52,0.770281,25
692,权衡,3.592593,1.083416,27
693,拳击,2.037037,1.01835,27
694,容器,2.0,0.960769,27
695,容颜,2.851852,1.26198,27
696,软禁,3.037037,0.979854,27
697,赛跑,1.846154,0.92487,26
698,三国,2.5,1.067708,26
699,食指,1.518519,0.848998,27
700,仕途,3.111111,1.120897,27
701,手巾,1.888889,1.050031,27
702,手巧,3.481481,0.935224,27
703,手足,2.653846,1.129329,26
704,栓塞,3.041667,0.954585,24
705,松树,1.518519,1.014145,27
706,特色,3.37037,1.213645,27
707,添置,3.115385,1.070586,26
708,铁匠,1.62963,0.966681,27
709,外族,2.851852,1.133534,27
710,吸毒,1.740741,0.902671,27
711,下场,3.444444,1.012739,27
712,下沉,3.185185,1.110684,27
713,逍遥,3.961538,1.076319,26
714,效能,3.576923,1.172112,26
715,循环,3.333333,1.176697,27
716,雅号,3.5,0.948683,26
717,岩浆,2.153846,1.120439,26
718,眼罩,1.692308,0.928191,26
719,演出,2.259259,0.859006,27
720,引用,3.555556,1.154701,27
721,隐藏,3.0,1.2,26
722,有用,3.592593,1.047314,27
723,迂回,3.52,1.122497,25
724,渊博,3.384615,1.09825,26
725,圆满,3.555556,0.974022,27
726,远古,3.185185,1.301982,27
727,月饼,1.444444,0.847319,27
728,运用,3.333333,0.919866,27
729,杂务,3.074074,0.780824,27
730,占领,3.185185,1.001423,27
731,阵营,2.851852,0.988538,27
732,震撼,3.777778,1.086042,27
733,植物,2.0,0.877058,27
734,中等,3.148148,0.988538,27
735,中外,3.444444,1.086042,27
736,肿瘤,2.04,1.059874,25
737,转动,2.884615,1.032547,26
738,庄园,1.962963,0.979854,27
739,自杀,2.148148,1.09908,27
740,走红,3.518519,1.014145,27
741,作品,2.222222,1.250641,27
742,掰开,1.961538,0.99923,26
743,饱和,3.076923,1.055389,26
744,保健,2.961538,1.112862,26
745,必然,2.807692,1.54969,26
746,扁平,2.076923,0.844894,26
747,冰川,1.423077,0.757526,26
748,颤抖,2.423077,1.172112,26
749,陈腐,3.5,1.14208,24
750,陈列,2.576923,1.205755,26
751,成功,3.461538,1.33359,26
752,弛缓,3.36,0.95219,25
753,充足,3.192308,1.132051,26
754,出战,2.28,0.979796,25
755,锄头,1.076923,0.271746,26
756,橱窗,1.076923,0.271746,26
757,揣摩,3.692308,1.158248,26
758,传热,2.96,1.274101,25
759,蹉跎,3.92,1.320353,25
760,错失,3.08,1.037625,25
761,大学,1.68,0.852447,25
762,档次,3.0,1.2,26
763,荡妇,2.538462,1.028816,26
764,到处,3.692308,1.225373,26
765,得到,2.769231,1.274604,26
766,顶替,2.423077,1.172112,26
767,毒药,1.807692,0.895287,26
768,废置,2.48,0.87178,25
769,芬芳,3.538462,1.207668,26
770,粉饰,3.36,1.075484,25
771,缝纫,1.884615,0.863802,26
772,干爽,2.807692,1.132051,26
773,公平,3.461538,1.240347,26
774,功能,2.807692,1.200641,26
775,构想,3.807692,1.200641,26
